Entity,ShareOfCalories1990,GDPperCap1990,Continent,ShareOfCalories2013,GDPperCap2013
Afghanistan,11.68674699,1189.784668,Asia,11.14832536,2116.465332
Albania,12.09034268,4827.034668,Europe,13.9580332,11361.26855
Algeria,10.70007262,8746.34082,Africa,11.16019417,11319.08301
Angola,9.374771481,5783.429688,Africa,9.261625556,8140.525879
Antigua and Barbuda,13.36522092,15458.69336,North America,13.85353744,17643.13086
Argentina,12.61697011,14144.76367,South America,12.71477238,24424.13672
Armenia,12.68920522,5180.061035,Asia,12.30054645,10691.27637
Australia,13.8626339,31016.41602,Oceania,12.97680098,46744.63281
Austria,11.67635328,37494.55859,Europe,11.27494692,52997.75391
Bahamas,12.16801769,38144.15625,North America,12.97677903,35331.16406
Bangladesh,8.655613453,1517.729248,Asia,9.116734694,3349.024902
Barbados,12.35672891,13984.19238,North America,12.01770514,15088.44141
Belgium,11.82578992,35506.92578,Europe,10.67130994,48204.58594
Belize,10.54267311,4854.975586,North America,10.65358052,7194.621582
Benin,9.37769447,2175.208496,Africa,9.840397098,2876.903809
Bermuda,14.17450628,65961.40625,North America,13.59640584,80503.64844
Bolivia,10.49122807,4587.429199,South America,11.70390071,7444.490723
Brazil,9.665318132,10520.74316,South America,11.64449893,15805.22266
Brunei,11.66048502,71232.78906,Asia,12.51725293,66715.69531
Bulgaria,12.23394056,12507.71387,Europe,11.81053376,18911.12695
Burkina Faso,12.01821494,1017.540039,Africa,11.67352941,1883.796509
Cameroon,9.539823009,3379.825684,Africa,10.47697492,3372.903809
Central African Republic,8.556722689,1201.674683,Africa,9.80521554,824.9432983
Chad,11.52669903,1003.785522,Africa,11.89004739,1804.32251
Chile,10.71856754,9849.648438,South America,11.73011078,24006.8125
China,10.34274354,1423.896362,Asia,12.61776062,11101.93848
Colombia,8.789699571,8307.25293,South America,9.184022825,13390.48535
Congo,8.36181909,5068.287109,Africa,9.358695652,5331.904297
Costa Rica,10.04230489,9932.629883,North America,10.54353933,18233.01563
Cote d'Ivoire,8.68589244,4271.56543,Africa,8.361557699,3961.828613
Cyprus,12.68575679,25232,Europe,11.7191393,33384.46484
Denmark,13.08320152,39027.98047,Europe,12.93495693,51479.26563
Dominica,10.18832265,7775.4375,North America,10.40600478,11708.14453
Dominican Republic,8.949250846,6203.208008,North America,8.905891354,13702.32129
Ecuador,8.710992908,8293.740234,South America,10.47098976,11818.58691
Egypt,10.65199623,6086.686523,Africa,11.72515616,10290.19141
El Salvador,9.714038128,5287.495605,North America,11.16026387,7892.466309
Eswatini,10.0051458,5097.82373,Africa,10.06440532,8179.81543
Ethiopia,11.61182519,767.0135498,Africa,11.33740028,1545.177979
Fiji,10.26313828,8451.426758,Oceania,10.00339789,11429.33301
Finland,12.58759936,32939.38281,Europe,13.98099762,45328.57422
France,13.20365088,33732.01563,Europe,12.69615164,42816.26953
Gabon,11.22717622,18179.16992,Africa,12.24452297,15342.18164
Gambia,8.658207772,2265.233398,Africa,9.368340944,2131.436035
Georgia,12.68920522,11135.46289,Europe,11.08846816,11740.08887
Germany,11.85648574,36699.48047,Europe,11.61360389,49954.17188
Ghana,9.147484095,2404.509521,Africa,8.563660477,4769.072754
Greece,12.63389831,24262.94727,Europe,12.8,27810.91211
Grenada,10.88577154,8813.923828,North America,11.31017573,13427.55176
Guatemala,10.18598726,5561.070801,South America,10.53823894,7734.117676
Guinea,8.989300412,1507.640625,Africa,8.718628215,2035.318604
Guinea-Bissau,7.930635838,1994.661499,Africa,7.685863874,1770.476196
Guyana,9.903307888,4843.085938,South America,11.5065123,11117.52246
Haiti,9.756153406,3541.410156,North America,9.128646581,3057.915527
Honduras,9.549112938,3990.029053,North America,9.826580841,5113.458984
Hong Kong,11.60754717,28798.45898,Asia,15.70577508,55230.85938
India,9.65260771,1813.135864,Asia,9.800732005,4818.522461
Indonesia,8.343883661,4532.540527,Asia,8.9564278,9457.018555
Iran,10.49046133,8630.834961,Asia,11.28377505,12625.08789
Iraq,10.36380425,7551.797363,Asia,10.00078585,10170.21973
Ireland,12.48013245,26437.2168,Europe,12.22444444,53435.64063
Italy,12.30331754,36585.67969,Europe,12.12740989,40268.11328
Jamaica,10.40514956,8592.386719,North America,11.21194465,9427.678711
Japan,13.14518318,32945.98047,Asia,12.8730741,39569.63672
Jordan,10.51461566,7924.177734,Asia,10.26967742,10414.9209
Kazakhstan,12.68920522,13475.63965,Asia,11.81495098,23720.81641
Kenya,11.25795399,3569.496826,Africa,11.2130553,3888.569092
Kiribati,9.739130435,2134.129395,Oceania,9.648684211,2034.136963
Kyrgyzstan,12.68920522,5158.317383,Asia,12.09229677,4631.40332
Laos,9.625806452,1964.572998,Asia,11.24439004,5841.881836
Lebanon,10.04021033,7552.953125,Asia,10.39921722,17537.83984
Lesotho,11.38250429,1336.633301,Africa,11.62831159,2614.143066
Madagascar,9.45686901,1853.049683,Africa,9.097465887,1531.778564
Malawi,10.95452169,952.6745605,Africa,10.90832277,1418.074341
Malaysia,9.480362538,10306.08203,Asia,11.19067215,22855.94922
Malta,12.36291391,16106.92871,Europe,13.06808763,35287.48828
Mauritania,12.2082499,4547.736816,Africa,11.81641168,4846.712402
Mauritius,9.96481149,7989.529785,Africa,11.5314845,18579.375
Mexico,10.4802964,14949.03027,North America,11.41015625,18600.37109
Mongolia,13.41009743,4977.78125,Asia,12.8749004,10371.28906
Morocco,11.25638539,3816.786621,Africa,11.51101969,6827.852539
Mozambique,6.896017699,471.3251038,Africa,8.007008322,1165.408203
Myanmar,9.801886792,564.2271118,Asia,12.85258654,3330.469238
Namibia,11.38282387,5945.970703,Africa,10.62920313,9990.746094
Nepal,10.19679634,1616.649414,Asia,10.34792368,3033.780762
Netherlands,11.6902439,36461.41797,Europe,13.84386617,51640.07813
New Zealand,12.43721216,28086.82422,Oceania,11.79980873,39599.1875
Nicaragua,10.77739331,3454.21167,South America,10.55648218,5263.409668
Nigeria,9.051094891,3259.642822,Africa,9.445925926,5329.121582
Norway,12.33840304,42136.60156,Europe,12.72883788,61878.97656
Oman,11.13347548,30333.875,Asia,11.23130767,36831.07422
Pakistan,10.13492741,2915.900146,Asia,10.73606557,4069.267578
Paraguay,10.99462588,8475.736328,South America,10.92622634,11209.13184
Peru,10.30860534,5249.200195,South America,11.09925926,11724.00391
Philippines,8.972972973,4209.48291,Asia,9.327626459,6666.250488
Poland,12.06692561,11314.96191,Europe,11.76122863,25759.33984
Portugal,11.97414046,23556.85547,Europe,12.75582399,30042.89063
Romania,12.30700352,13302.46289,Europe,12.27159023,22197.02344
Russia,12.68920522,21482.74805,Europe,12.23921452,26332.39648
Rwanda,9.963716328,936.6343384,Africa,10.19928187,1718.935791
Saint Kitts and Nevis,11.17053643,14210.25977,North America,11.60834671,22707.08203
Saint Lucia,11.99519423,11732.9834,North America,13.21156069,14133.48438
Saint Vincent and the Grenadines,10.23595024,6547.352051,North America,11.6212938,11729.56445
Samoa,10.80775194,4058.006592,Oceania,11.55810811,5831.095703
Saudi Arabia,11.13916986,41392.53125,Asia,11.26021505,47848.375
Senegal,11.91595887,2472.784424,Africa,9.526058632,2777.111816
Sierra Leone,8.32,1453.143799,Africa,9.339434276,1942.880005
Solomon Islands,9.764092847,2317.999512,Oceania,9.428690924,2594.46167
South Africa,10.46077739,11260.88867,Africa,11.29450695,14066.10254
South Korea,11.23274696,12656.39648,Asia,11.54169166,37021.13281
Spain,13.00245399,27543.91992,Europe,13.2173913,35371.73828
Sri Lanka,8.620212275,3878.309326,Asia,9.406853092,10990.07031
Suriname,10.59468303,13888.90625,South America,9.144932801,20379.87109
Sweden,12.87588295,34156.82031,Europe,13.55394778,48462.16016
Switzerland,11.54780587,56329.21484,Europe,10.97965202,66877.16406
Tajikistan,12.68920522,4092.861572,Asia,11.51840073,2767.836914
Tanzania,10.21490626,1392.221924,Africa,10.47101449,2205.951416
Thailand,9.033027523,7102.056152,Asia,8.747126437,15767.36035
Togo,9.354375897,1787.174438,Africa,9.745721271,1805.488892
Trinidad and Tobago,9.57501904,10080.83789,North America,10.92529489,29247.00977
Tunisia,10.61636018,5795.566406,Africa,11.77545536,10934.87695
Turkey,11.57615894,12629.4668,Asia,11.66972477,24117.6582
Turkmenistan,12.68920522,7207.934082,Asia,12.74507042,11471.18457
Uganda,9.282403433,913.7267456,Africa,9.892957746,2002.722656
Ukraine,12.68920522,16428.48047,Europe,11.29636711,13020.60059
United Arab Emirates,13.12187195,111454.0547,Asia,12.75853659,59920.15234
United Kingdom,11.58407899,31217.21875,Europe,12.05724299,43271.82813
United States,12.35156026,40436.9375,North America,11.90657251,56214.42969
Uruguay,11.96201029,11066.12891,South America,12.12327869,21786.21289
Uzbekistan,12.68920522,3638.876953,Asia,12.09130435,5781.156738
Vanuatu,9.162446436,2855.900635,Oceania,9.827926657,2975.897949
Vietnam,9.461417323,1673.249756,Asia,11.89216758,5815.175293
Zambia,9.969230769,2190.181641,Africa,11.44455959,3399.702393
Zimbabwe,10.1182315,4166.525879,Africa,9.165876777,3681.947266
